image_file,old_backup_file,old_size,new_size,source,source_page,notes
009.jpg,input/main/images_lowres_backup/009_old_295x600.jpg,295x600,2598x5280,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hodler_-_Was_die_Blumen_sagen_-_1893-94.jpeg,Clear same artwork; public-domain reproduction; no watermark or added material.
042.jpg,input/main/images_lowres_backup/042_old_395x600.jpg,395x600,1140x1733,WikiArt,https://www.wikiart.org/en/francis-picabia/meliboeus,Clear same artwork; larger WikiArt source; no watermark or added material.
051.jpg,input/main/images_lowres_backup/051_old_330x600.jpg,330x600,589x1071,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Morisot_-_the-blue-vase.jpg,Clear same artwork; public-domain reproduction; no watermark or added material.
002.jpg,input/main/images_lowres_backup/002_old_439x600.jpg,439x600,1684x2304,WikiArt,https://www.wikiart.org/en/bozoky-maria/carnation-in-a-blue-vase-1993,Clear same artwork; larger WikiArt source; no watermark or added material.
008.jpg,input/main/images_lowres_backup/008_old_640x404.jpg,640x404,640x404,WikiArt,https://www.wikiart.org/en/theodoros-stamos/what-the-wind-does-1947,Same max pixel dimensions on WikiArt; replaced heavily compressed local copy with cleaner source file.
023.jpg,input/main/images_lowres_backup/023_old_412x600.jpg,412x600,1648x2398,WikiArt,https://www.wikiart.org/en/bozoky-maria/freesia-in-a-red-vase-1986,Clear same artwork; larger WikiArt source; no watermark or added material.
044.jpg,input/main/images_lowres_backup/044_old_580x442.jpg,580x442,580x442,WikiArt,https://www.wikiart.org/en/felix-labisse/trois-masques-1933,Same max pixel dimensions on WikiArt; replaced heavily compressed local copy with cleaner source file.
047.jpg,input/main/images_lowres_backup/047_old_231x420.jpg,231x420,231x420,WikiArt,https://www.wikiart.org/en/jo-baer/sex-symbol-1961,Same max pixel dimensions on WikiArt; replaced heavily compressed local copy with cleaner source file.
057.jpg,input/main/images_lowres_backup/057_old_376x570.jpg,376x570,376x570,WikiArt,https://www.wikiart.org/en/arthur-segal/still-life-with-sunflower-1931,Same max pixel dimensions on WikiArt; replaced heavily compressed local copy with cleaner source file.
065.jpg,input/main/images_lowres_backup/065_old_460x403.jpg,460x403,460x403,WikiArt,https://www.wikiart.org/en/sven-jonson/stilleben-med-fisk-1926,Same max pixel dimensions on WikiArt; replaced heavily compressed local copy with cleaner source file.
