stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
001,001.jpg,bird_of_the_spirit_0121.jpg,abstract-expressionism/bird_of_the_spirit_0121.jpg,abstract-expressionism,"Eine kleiner, heraufschauender Vogel sitzt in der Mitte einer dunklen ovalen Fläche auf rostbraunem Grund. Um die Mitte liegen feine dunkle Striche und ein breiter Schattenrand.",Eine helle Form liegt zentral in einer dunklen runden Fläche auf warmem braunem Grund. Der dunkle Bereich und die feinen Linien um die Mitte bleiben auffällig.,"Eine helle Form liegt seitlich in einer blassen ovalen Fläche auf kühlem graublauem Grund. Der dunkle Rand ist schmal, und die Mitte wirkt eher offen als verdichtet.",A small upward-looking bird sits in the center of a dark oval area on a rusty brown ground. Fine dark lines and a broad shadowed rim surround the center.,A pale form lies centrally inside a dark round area on a warm brown ground. The dark area and the fine lines around the center remain noticeable.,"A pale form lies off to the side inside a faint oval area on a cool gray-blue ground. The dark rim is narrow, and the center feels more open than dense.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
002,002.jpg,candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,candidate_images/chosen/candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,expressionism,"Eine pinke Blüte steht in einer blau-grünen Glasvase vor braunem Hintergrund. Die Vase sitzt unten mittig, die Blüte ragt darüber nach links oben.","Eine helle pinke Blütenform steht in einem bläulichen Gefäß vor warmem braunem Grund. Oben ist die Blüte dominant, unten bleibt die Vase klar sichtbar.","Eine orange Blüte steht in einer schmalen grünen Vase vor hellem Grund. Blüte und Vase liegen deutlich rechts, und die Tischfläche ist kaum betont.","A pink blossom stands in a blue-green glass vase against a brown background. The vase sits near the lower center, and the flower rises above it toward the upper left.","A pale pink flower-like form stands in a bluish vessel against a warm brown ground. The blossom dominates the top, while the vase remains clearly visible below.","An orange blossom stands in a narrow green vase against a light ground. Flower and vase sit clearly to the right, and the tabletop is barely emphasized.",image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
003,003.jpg,candidate_005_surrealism_flower_1.jpg,candidate_images/chosen/candidate_005_surrealism_flower_1.jpg,surrealism,Eine einzelne gelbe Blüte sitzt auf einem langen weißen Stiel vor dunkelblauem Hintergrund. Unten gehen helle Blattformen seitlich vom Stiel ab.,Eine gelbe Form steht oben auf einem schlanken weißen Stiel vor dunklem Blau. Helle seitliche Formen lenken den Blick vom unteren Stiel nach außen.,Zwei gelbe Blüten sitzen auf kurzen dunklen Stielen vor hellem grauem Grund. Kleine Blätter bleiben nah an den kurzen Stielen.,A single yellow blossom sits on a long white stem against a dark blue background. Pale leaf shapes branch away from the lower stem.,A yellow form stands at the top of a slender white stem against dark blue. Pale side forms guide the eye outward from the lower stem.,Two yellow blossoms sit on short dark stems against a light gray ground. Small leaves stay close to the short stems.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
004,004.jpg,pandora_0015.jpg,abstract-expressionism/pandora_0015.jpg,abstract-expressionism,"Auf hellem Grund überlagern sich türkisfarbene Flächen, orange Bereiche, ein schwarzer Kreis und ein blaues Rechteck. Die Formen sammeln sich vor allem in der oberen rechten Hälfte.",Türkise und orange Flächen liegen neben einem dunklen runden Element auf hellem Grund. Ein kantiger blauer Bereich setzt einen klaren Akzent nahe der Mitte.,"Mehrere rote und gelbe Kreise liegen getrennt am unteren Rand auf dunklem Grund. Ein schwarzes Rechteck dominiert links, während die obere rechte Ecke fast leer bleibt.","On a light ground, turquoise areas, orange regions, a black circle, and a blue rectangle overlap. The forms gather mostly in the upper right half.",Turquoise and orange areas sit beside a dark round element on a light ground. An angular blue area creates a clear accent near the center.,"Several red and yellow circles sit separately along the lower edge on a dark ground. A black rectangle dominates the left, while the upper right corner is almost empty.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
005,005.jpg,quadratisch_0069.jpg,abstract-expressionism/quadratisch_0069.jpg,abstract-expressionism,"Das Bild besteht fast ganz aus weichen hellen Farbnebeln in Rosa, Violett und Beige. Nur unten rechts liegen wenige kleine weiße kantige Formen.","Ein heller, nebliger Farbraum in Rosa und Beige füllt fast das ganze Bild. Kleine helle Formen sitzen eher am unteren Rand.",Kräftige schwarze Linien und große rote Flächen füllen die Mitte auf dunklem Grund. Helle Nebelfarben und kleine weiße Formen spielen kaum eine Rolle.,"The image is made almost entirely of soft pale color haze in pink, violet, and beige. Only a few small white angular forms sit at the lower right.","A bright, misty color field in pink and beige fills almost the whole image. Small pale forms sit closer to the lower edge.",Strong black lines and large red areas fill the center on a dark ground. Pale misty colors and small white forms play hardly any role.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
006,006.jpg,the_heart_0108.jpg,abstract-expressionism/the_heart_0108.jpg,abstract-expressionism,"Links steht ein dunkles grünes Rechteck in einer hellgrünen Fläche, rechts ein weißes Rechteck mit rotem Herz und schwarzen Streifen. Beide Formen liegen auf einem hellblauen Grund.","Zwei rechteckige Felder stehen nebeneinander auf hellem Blau. Links dominiert ein dunkles Rechteck, rechts ein helles Feld mit rotem Akzent.",Ein einzelner roter Kreis liegt mittig auf gelbem Grund.,"On the left, a dark green rectangle stands inside a pale green area; on the right, a white rectangle contains a red heart and black stripes. Both forms lie on a light blue ground.","Two rectangular fields stand side by side on light blue. A dark rectangle dominates the left, while a pale field with a red accent sits on the right.",A single red circle lies in the middle on a yellow ground.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
007,007.jpg,untitled_0173.jpg,abstract-expressionism/untitled_0173.jpg,abstract-expressionism,"Ein glasähnliches Gefäß steht unten, darüber schwebt eine helle ovale Kopfform mit dunklen Linien. Der Hintergrund ist bräunlich und wirkt fleckig.","Unten sitzt ein durchsichtig wirkendes Gefäß, darüber eine helle runde Form mit dunkler Zeichnung. Senkrechte und waagrechte Linien teilen den warmen Hintergrund.","Ein dunkles Gefäß steht oben links vor blauem Grund, darunter liegen mehrere rote Kreisformen.","A glass-like vessel stands at the bottom, with a pale oval head-like form floating above it and crossed by dark lines. The background is brownish and mottled.","A transparent-looking vessel sits at the bottom, with a pale round form and dark drawing above it. Vertical and horizontal lines divide the warm background.","A dark vessel stands at the upper left against blue, with several red circular forms below.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
008,008.jpg,what_the_wind_does_0268.jpg,abstract-expressionism/what_the_wind_does_0268.jpg,abstract-expressionism,Auf dunklem grauem Grund liegen zwei helle türkisfarbene Flecken links und rechts einer blassen Mitte. Ein rosiger senkrechter Lichtzug steigt unten zur Mitte auf.,Eine neblige helle Mitte wird von türkisfarbenen Flecken und dunklen Rändern umgeben. Unten zieht eine rosige vertikale Spur nach oben.,"Ein scharfes schwarzes Dreieck liegt auf gelbem Grund, daneben stehen rote Linien und kleine blaue Punkte.","On a dark gray ground, two pale turquoise patches sit left and right of a light center. A pinkish vertical glow rises from the bottom toward the middle.",A misty light center is surrounded by turquoise patches and dark edges. A pink vertical trace moves upward from the bottom.,"A sharp black triangle lies on a yellow ground, beside red lines and small blue dots.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
009,009.jpg,candidate_017_symbolism_what_are_flowers_saing_1893.jpg,candidate_images/chosen/candidate_017_symbolism_what_are_flowers_saing_1893.jpg,symbolism,"Eine stehende Figur in blauem Kleid und hellem Umhang steht in einer grünen Landschaft. Der Kopf ist gesenkt, und helle kleine Blumen liegen im unteren Bereich.","Eine schlanke helle Figur steht vor einer weichen Landschaft mit Grün- und Grautönen. Kleid, Umhang und der Bodenbereich führen den Blick nach unten.",Eine sitzende Figur in rotem Gewand steht vor dunklem Innenraum.,"A standing figure in a blue dress and pale cloak stands in a green landscape. The head is lowered, and small pale flowers lie in the lower area.","A slender pale figure stands before a soft landscape of greens and grays. Dress, cloak, and ground area guide the eye downward.",A seated figure in a red garment appears in a dark interior.,image_type=symbolism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
010,010.jpg,e_226_0133.jpg,color-field-painting/e_226_0133.jpg,color-field-painting,Eine große rote ovale Fläche liegt auf leuchtend orangefarbenem Grund. Unten rechts setzt ein schmaler blauer Balken einen kleinen Kontrast.,Ein roter runder Körper dominiert die Mitte auf warmem orangefarbenem Grund. Ein kleiner blauer Streifen sitzt tief am unteren Rand.,Mehrere kleine blaue Kreise verteilen sich auf weißem Grund.,A large red oval area lies on a bright orange ground. A narrow blue bar near the lower right creates a small contrast.,A red rounded body dominates the center on a warm orange ground. A small blue stripe sits low near the bottom edge.,Several small blue circles are spread across a white ground.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19,False
