run_id,phase,participant,session,trial_index,trial_id,stimulus_id,counterbalance_offset,preferred_description_condition,description_condition,metadata_condition,description,image_file,original_filename,original_style_folder,original_relative_path,trial_start_session_s,trial_start_unix_s,description_onset_session_s,description_offset_session_s,description_onset_unix_s,description_offset_unix_s,description_time_s,fixation_onset_session_s,fixation_offset_session_s,fixation_onset_unix_s,fixation_offset_unix_s,fixation_time_s,image_onset_session_s,image_offset_session_s,image_onset_unix_s,image_offset_unix_s,image_view_time_s,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,rating_onset_session_s,rating_offset_session_s,rating_onset_unix_s,rating_offset_unix_s,rating,rating_rt_s,mismatch_check_triggered,mismatch_response,mismatch_rt_s,mismatch_onset_session_s,mismatch_offset_session_s,mismatch_onset_unix_s,mismatch_offset_unix_s
real_001_s001_2026-05-18_21-28-44-498,main,001,001,1,033,033,0,incongruent,incongruent,incongruent,Eine dunkle Figur mit Hut geht auf einem Weg vor weitem Himmel. Der Weg führt schräg in die Tiefe.,033.jpg,misery_0089.jpg,expressionism,expressionism/misery_0089.jpg,20.726828,1779132545.226651,20.737925,28.564293,1779132545.237748,1779132553.064119,7.8264,28.602989,29.86438,1779132553.102818,1779132554.364207,1.2614,29.864443,39.147644,1779132554.364269,1779132563.647475,9.2832,2940,1912,0.790617,0.82,0.0,0.0,39.155127,40.747465,1779132563.65496,1779132565.2473,1.0,1.5923,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,2,027,027,0,incongruent,incongruent,incongruent,"Zwei Figuren stehen unter Bäumen, eine hält eine rote Form. Der grüne Außenraum füllt den Hintergrund.",027.jpg,candidate_029_expressionism_leon_indenbaum_1915.jpg,expressionism,candidate_images/chosen/candidate_029_expressionism_leon_indenbaum_1915.jpg,40.751195,1779132565.25103,40.76281,47.847552,1779132565.262644,1779132572.347391,7.0847,47.860434,49.114235,1779132572.360274,1779132573.614073,1.2538,49.114302,59.297466,1779132573.61414,1779132583.79731,10.1832,2940,1912,0.690167,0.82,0.0,0.0,59.306084,60.79736,1779132583.805929,1779132585.297206,1.022,1.4913,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,3,016,016,0,congruent,congruent,congruent,Bunte schneckenartige Formen liegen auf dunklem Grund und rollen sich ineinander. Die großen Farbflächen sind klar voneinander abgegrenzt.,016.jpg,candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,surrealism,candidate_images/chosen/candidate_020_surrealism_vuelo_de_medianoche_1936.jpg,60.801861,1779132585.301708,60.814259,71.564068,1779132585.314106,1779132596.06392,10.7498,71.577927,72.830619,1779132596.07778,1779132597.330472,1.2527,72.830685,90.363931,1779132597.330538,1779132614.863794,17.5332,2940,1912,1.040609,0.82,0.0,0.0,90.378331,93.713887,1779132614.878195,1779132618.213753,4.7151,3.3356,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,4,013,013,0,congruent,congruent,congruent,Eine helle fast leere Fläche wird rechts von einer schmalen dunklen senkrechten Spur geteilt. Kleine Flecken liegen am unteren Rand.,013.jpg,the_station_of_the_cross_-_first_station_0179.jpg,color-field-painting,color-field-painting/the_station_of_the_cross_-_first_station_0179.jpg,93.718364,1779132618.218231,93.730311,109.097022,1779132618.230178,1779132633.596896,15.3667,109.12539,110.380332,1779132633.625267,1779132634.880208,1.2549,110.380397,121.496958,1779132634.880272,1779132645.99684,11.1166,2940,1912,0.636867,0.82,0.0,0.0,121.506753,123.313609,1779132646.006636,1779132647.813493,4.0048,1.8069,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,5,076,076,0,congruent,congruent,congruent,"Zwei helle Figuren stehen auf einem Podest, daneben liegen Pflanzen oder Körperformen. Der helle Hintergrund und die langen Körper trennen die Szene.",076.jpg,illustration_to_milton_s_comus_0060.jpg,symbolism,symbolism/illustration_to_milton_s_comus_0060.jpg,123.318269,1779132647.818154,123.330712,135.880298,1779132647.830596,1779132660.380189,12.5496,135.914907,137.180115,1779132660.414803,1779132661.680007,1.2652,137.18019,150.49688,1779132661.680082,1779132674.996779,13.3167,2940,1912,0.667617,0.82,0.0,0.0,150.508303,154.23008,1779132675.008204,1779132678.729982,2.3686,3.7218,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,6,015,015,0,incongruent,incongruent,incongruent,Eine gelbe Fläche wird von einer dunklen Spur am oberen Rand unterbrochen. Große Farbfelder bestimmen das Bild.,015.jpg,untitled_0170.jpg,color-field-painting,color-field-painting/untitled_0170.jpg,154.234702,1779132678.734605,154.246701,162.213449,1779132678.746604,1779132686.713356,7.9667,162.223422,163.480015,1779132686.72333,1779132687.979922,1.2566,163.480079,176.479897,1779132687.979986,1779132700.979811,12.9998,2940,1912,0.6478,0.82,0.0,0.0,176.491137,178.446406,1779132700.991053,1779132702.946323,1.0,1.9553,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,7,014,014,0,ambiguous,ambiguous,semi_congruent,Ein helles gelbes Feld wird von einer dunklen Spur am oberen Rand unterbrochen. Die meisten Flächen bleiben groß und ruhig.,014.jpg,untitled_0159.jpg,color-field-painting,color-field-painting/untitled_0159.jpg,178.45004,1779132702.949959,178.461706,189.346423,1779132702.961624,1779132713.846347,10.8847,189.355715,190.613019,1779132713.855639,1779132715.112942,1.2573,190.613085,206.296394,1779132715.113008,1779132730.796326,15.6833,2940,1912,0.973642,0.82,0.0,0.0,206.309096,209.579589,1779132730.809029,1779132734.079524,1.9465,3.2705,1,da war keine spur sondern eine einkerbung und das gelb war eigenltich sehr gleichmaesig,39.2331,209.579648,248.812713,1779132734.079583,1779132773.312672
real_001_s001_2026-05-18_21-28-44-498,main,001,001,8,035,035,0,ambiguous,ambiguous,semi_congruent,Ein dunkler Raum mit heller Öffnung zeigt Lichtstreifen auf Boden und Wand. Die Komposition ist ruhig und fast leer.,035.jpg,night_0017.jpg,expressionism,expressionism/night_0017.jpg,248.81641,1779132773.31637,248.826179,261.262602,1779132773.326139,1779132785.762569,12.4364,261.29807,262.562516,1779132785.798039,1779132787.062482,1.2644,262.562582,272.829218,1779132787.062549,1779132797.329191,10.2666,2940,1912,0.651217,0.82,0.0,0.0,272.838404,275.245684,1779132797.338378,1779132799.74566,1.6608,2.4073,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,9,052,052,0,congruent,congruent,congruent,Eine helle rosa Blüte schwebt vor dunklem Grund mit rosa Wolken. Der Blütenkörper sitzt über einer waagerechten roten Linie.,052.jpg,before_the_snow_0016.jpg,surrealism,surrealism/before_the_snow_0016.jpg,275.250428,1779132799.750405,275.261315,287.129035,1779132799.761291,1779132811.629017,11.8677,287.143512,288.395578,1779132811.643497,1779132812.89556,1.2521,288.395643,298.878878,1779132812.895626,1779132823.378866,10.4832,2940,1912,0.948908,0.82,0.0,0.0,298.887193,301.612234,1779132823.387182,1779132826.112225,4.4452,2.725,0,,,,,,
real_001_s001_2026-05-18_21-28-44-498,main,001,001,10,019,019,0,congruent,ambiguous,semi_congruent,Eine sitzende blaue Figur steht frontal vor blauem Hintergrund. Helle ovale Formen und Tischkante bilden ruhige zentrale Bereiche.,019.jpg,ascet_0276.jpg,expressionism,expressionism/ascet_0276.jpg,301.616956,1779132826.116949,301.627205,318.262163,1779132826.127197,1779132842.762164,16.635,318.291123,319.545384,1779132842.791125,1779132844.045385,1.2543,319.545449,330.412062,1779132844.04545,1779132854.912069,10.8666,2940,1912,0.54735,0.82,0.0,0.0,330.421414,333.445237,1779132854.921423,1779132857.945248,3.6254,3.0238,1,ovale waren etwas ungenau und ob sie ruhe reinbringen wei ich nicht so genau,20.1998,333.445304,353.645147,1779132857.945314,1779132878.145169
