trial_id,description,image_file
001,Placeholder description 001 - replace with your real text prompts,001_dummy.ppm
002,Placeholder description 002 - replace with your real text prompts,001_dummy.ppm
003,Placeholder description 003 - replace with your real text prompts,001_dummy.ppm
004,Placeholder description 004 - replace with your real text prompts,001_dummy.ppm
005,Placeholder description 005 - replace with your real text prompts,001_dummy.ppm
006,Placeholder description 006 - replace with your real text prompts,001_dummy.ppm
007,Placeholder description 007 - replace with your real text prompts,001_dummy.ppm
008,Placeholder description 008 - replace with your real text prompts,001_dummy.ppm
009,Placeholder description 009 - replace with your real text prompts,001_dummy.ppm
010,Placeholder description 010 - replace with your real text prompts,001_dummy.ppm
011,Placeholder description 011 - replace with your real text prompts,001_dummy.ppm
012,Placeholder description 012 - replace with your real text prompts,001_dummy.ppm
013,Placeholder description 013 - replace with your real text prompts,001_dummy.ppm
014,Placeholder description 014 - replace with your real text prompts,001_dummy.ppm
015,Placeholder description 015 - replace with your real text prompts,001_dummy.ppm
016,Placeholder description 016 - replace with your real text prompts,001_dummy.ppm
017,Placeholder description 017 - replace with your real text prompts,001_dummy.ppm
018,Placeholder description 018 - replace with your real text prompts,001_dummy.ppm
019,Placeholder description 019 - replace with your real text prompts,001_dummy.ppm
020,Placeholder description 020 - replace with your real text prompts,001_dummy.ppm
021,Placeholder description 021 - replace with your real text prompts,001_dummy.ppm
022,Placeholder description 022 - replace with your real text prompts,001_dummy.ppm
023,Placeholder description 023 - replace with your real text prompts,001_dummy.ppm
024,Placeholder description 024 - replace with your real text prompts,001_dummy.ppm
025,Placeholder description 025 - replace with your real text prompts,001_dummy.ppm
026,Placeholder description 026 - replace with your real text prompts,001_dummy.ppm
027,Placeholder description 027 - replace with your real text prompts,001_dummy.ppm
028,Placeholder description 028 - replace with your real text prompts,001_dummy.ppm
029,Placeholder description 029 - replace with your real text prompts,001_dummy.ppm
030,Placeholder description 030 - replace with your real text prompts,001_dummy.ppm
031,Placeholder description 031 - replace with your real text prompts,001_dummy.ppm
032,Placeholder description 032 - replace with your real text prompts,001_dummy.ppm
033,Placeholder description 033 - replace with your real text prompts,001_dummy.ppm
034,Placeholder description 034 - replace with your real text prompts,001_dummy.ppm
035,Placeholder description 035 - replace with your real text prompts,001_dummy.ppm
036,Placeholder description 036 - replace with your real text prompts,001_dummy.ppm
037,Placeholder description 037 - replace with your real text prompts,001_dummy.ppm
038,Placeholder description 038 - replace with your real text prompts,001_dummy.ppm
039,Placeholder description 039 - replace with your real text prompts,001_dummy.ppm
040,Placeholder description 040 - replace with your real text prompts,001_dummy.ppm
041,Placeholder description 041 - replace with your real text prompts,001_dummy.ppm
042,Placeholder description 042 - replace with your real text prompts,001_dummy.ppm
043,Placeholder description 043 - replace with your real text prompts,001_dummy.ppm
044,Placeholder description 044 - replace with your real text prompts,001_dummy.ppm
045,Placeholder description 045 - replace with your real text prompts,001_dummy.ppm
046,Placeholder description 046 - replace with your real text prompts,001_dummy.ppm
047,Placeholder description 047 - replace with your real text prompts,001_dummy.ppm
048,Placeholder description 048 - replace with your real text prompts,001_dummy.ppm
049,Placeholder description 049 - replace with your real text prompts,001_dummy.ppm
050,Placeholder description 050 - replace with your real text prompts,001_dummy.ppm
051,Placeholder description 051 - replace with your real text prompts,001_dummy.ppm
052,Placeholder description 052 - replace with your real text prompts,001_dummy.ppm
053,Placeholder description 053 - replace with your real text prompts,001_dummy.ppm
054,Placeholder description 054 - replace with your real text prompts,001_dummy.ppm
055,Placeholder description 055 - replace with your real text prompts,001_dummy.ppm
056,Placeholder description 056 - replace with your real text prompts,001_dummy.ppm
057,Placeholder description 057 - replace with your real text prompts,001_dummy.ppm
058,Placeholder description 058 - replace with your real text prompts,001_dummy.ppm
059,Placeholder description 059 - replace with your real text prompts,001_dummy.ppm
060,Placeholder description 060 - replace with your real text prompts,001_dummy.ppm
