stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
001,001.jpg,bird_of_the_spirit_0121.jpg,abstract-expressionism/bird_of_the_spirit_0121.jpg,abstract-expressionism,"Eine kleine helle Form liegt in einer dunklen ovalen Fläche auf orangebraunem Grund. Die Mitte wirkt betont, während feine Striche nach außen laufen.","Eine kleine helle Form liegt in einer dunklen runden Fläche auf orangebraunem Grund. Die Mitte bleibt auffällig, während feine Striche nach außen laufen.","Eine dunkle runde Fläche liegt klar am unteren Rand auf gelblichem Grund. Mehrere helle Formen verteilen sich außen, während die Mitte eher leer bleibt.",A small light shape lies inside a dark oval area on an orange-brown ground. The center feels emphasized while fine strokes run outward.,A small light shape lies inside a dark round area on an orange-brown ground. The center remains noticeable while fine strokes run outward.,"A dark round area lies clearly near the lower edge on a yellowish ground. Several light shapes spread around the outside, while the center remains rather empty.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
002,002.jpg,candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,candidate_images/chosen/candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,expressionism,"Eine pinke Blüte steht in einer blauen Glasvase vor braunem Hintergrund. Vase, Blüte und helle Tischfläche sind klar voneinander getrennt.",Eine helle Blütenform steht in einem blauen Gefäß vor braunem Hintergrund. Die oberen und unteren Formen sind klar voneinander getrennt.,Eine rote Blüte steht in einer schmalen grünen Vase vor hellem Hintergrund. Vase und Blüte liegen weit links und die Tischfläche ist kaum sichtbar.,"A pink flower stands in a blue glass vase against a brown background. Vase, flower, and light tabletop are clearly separated.",A light flower-like shape stands in a blue vessel against a brown background. The upper and lower forms are clearly separated.,"A red flower stands in a narrow green vase against a light background. Vase and flower sit far to the left, and the tabletop is barely visible.",image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
003,003.jpg,candidate_005_surrealism_flower_1.jpg,candidate_images/chosen/candidate_005_surrealism_flower_1.jpg,surrealism,"Eine einzelne gelbe Blüte steht auf einem weißen Stiel vor dunkelblauem Hintergrund. Stiel, Blätter und Blütenkopf sind deutlich getrennt.",Eine einzelne gelbe Form steht auf einem weißen Stiel vor dunkelblauem Hintergrund. Seitliche Formen und der obere Bereich sind deutlich getrennt.,Eine große weiße Blüte sitzt auf einem kurzen dunklen Stiel vor hellgrauem Hintergrund. Blätter und Blütenkopf füllen fast die ganze Breite.,"A single yellow flower stands on a white stem against a dark blue background. Stem, leaves, and flower head are clearly separated.",A single yellow form stands on a white stem against a dark blue background. Side forms and the upper area are clearly separated.,A large white flower sits on a short dark stem against a light gray background. Leaves and flower head fill almost the whole width.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
004,004.jpg,pandora_0015.jpg,abstract-expressionism/pandora_0015.jpg,abstract-expressionism,"Türkise Flächen, ein schwarzer Kreis und orange Formen liegen übereinander. Die Elemente sammeln sich nahe der Mitte auf hellem Grund.","Türkise Flächen, eine dunkle runde Form und orange Bereiche liegen übereinander. Die Elemente sammeln sich nahe der Mitte auf hellem Grund.",Orange und gelbe Flächen liegen getrennt um einen hellen Kreis auf dunklem Grund. Die Formen stehen vor allem am Rand und lassen die Mitte offen.,"Turquoise areas, a black circle, and orange forms overlap. The elements gather near the center on a light ground.","Turquoise areas, a dark round form, and orange regions overlap. The elements gather near the center on a light ground.",Orange and yellow areas sit separately around a light circle on a dark ground. The forms are mostly near the edge and leave the center open.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
005,005.jpg,quadratisch_0069.jpg,abstract-expressionism/quadratisch_0069.jpg,abstract-expressionism,Weiche violette und helle Farbfelder füllen fast das ganze Bild. Unten rechts liegen kleine weiße kantige Formen am Rand.,Weiche helle Farbfelder füllen fast das ganze Bild. Unten rechts liegen kleine kantige Formen nahe am Rand.,Kräftige rote und blaue Farbfelder teilen das Bild in klare senkrechte Streifen. Kleine dunkle Formen sammeln sich oben links statt unten rechts.,Soft violet and light color fields fill almost the whole image. Small white angular shapes sit at the lower right edge.,Soft light color fields fill almost the whole image. Small angular shapes sit near the lower right edge.,Strong red and blue color fields divide the image into clear vertical bands. Small dark forms gather at the upper left rather than the lower right.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
006,006.jpg,the_heart_0108.jpg,abstract-expressionism/the_heart_0108.jpg,abstract-expressionism,"Zwei rechteckige Felder stehen auf hellblauem Grund. Links liegt ein dunkles grünes Feld, rechts ein weißes Feld mit rotem Herz.","Zwei kantige Felder stehen auf hellblauem Grund. Links liegt ein dunkler Bereich, rechts ein heller Bereich mit roter Form.","Drei schmale helle Felder stehen auf dunklem Grund. Eine kleine rote Form liegt links unten, während die rechte Bildhälfte fast leer bleibt.","Two rectangular fields stand on a light blue ground. A dark green field lies on the left, and a white field with a red heart lies on the right.","Two angular fields stand on a light blue ground. A dark area lies on the left, and a light area with a red form lies on the right.","Three narrow light fields stand on a dark ground. A small red form lies at the lower left, while the right half remains almost empty.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
007,007.jpg,untitled_0173.jpg,abstract-expressionism/untitled_0173.jpg,abstract-expressionism,"Eine helle maskenartige Form sitzt oben auf einem dunklen, kantigen Körper. Darunter liegen dünne Linien und braune Flächen.","Eine helle kopfähnliche Form sitzt oben auf einem dunklen, kantigen Körper. Darunter liegen dünne Linien und braune Flächen.","Eine dunkle kopfähnliche Form liegt tief unten auf hellem Grund. Darüber bleibt viel freie Fläche, und die dünnen Linien laufen vor allem nach oben.",A light mask-like form sits above a dark angular body. Thin lines and brown areas lie beneath it.,A light head-like form sits above a dark angular body. Thin lines and brown areas lie beneath it.,"A dark head-like form lies low in the image on a light ground. A lot of empty space remains above it, and the thin lines mainly run upward.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
008,008.jpg,what_the_wind_does_0268.jpg,abstract-expressionism/what_the_wind_does_0268.jpg,abstract-expressionism,Zwei türkise flügelartige Formen liegen links und rechts einer hellen rosa Mitte. Der Hintergrund ist grau und weich verwischt.,Zwei helle seitliche Formen liegen um eine rosa Mittelachse. Der Hintergrund ist grau und weich verwischt.,Eine einzelne türkise Form liegt oben links neben einer dunklen senkrechten Mitte. Der Hintergrund wirkt warm orange und ist nur wenig verwischt.,Two turquoise wing-like forms lie to the left and right of a light pink center. The background is gray and softly blurred.,Two light side forms lie around a pink central axis. The background is gray and softly blurred.,A single turquoise form lies at the upper left beside a dark vertical center. The background feels warm orange and only slightly blurred.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
009,009.jpg,candidate_017_symbolism_what_are_flowers_saing_1893.jpg,candidate_images/chosen/candidate_017_symbolism_what_are_flowers_saing_1893.jpg,symbolism,"Eine stehende Frau in hellem Kleid befindet sich vor einer grünen Landschaft. Körper, Kleid und Hintergrund sind klar getrennt.","Eine stehende helle Figur befindet sich vor einer grünen Umgebung. Körperform, helle Kleidung und Hintergrund sind klar getrennt.","Eine helle Figur sitzt niedrig im Bild vor einer fast leeren Wiese. Kleid und Körper sind breit gelagert, während die Landschaft kaum grüne Tiefe zeigt.","A standing woman in a light dress is placed before a green landscape. Body, dress, and background are clearly separated.","A standing light figure is placed before a green setting. Body shape, light clothing, and background are clearly separated.","A light figure sits low in the image before an almost empty meadow. Dress and body are broad, while the landscape shows little green depth.",image_type=symbolism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low,False
010,010.jpg,e_226_0133.jpg,color-field-painting/e_226_0133.jpg,color-field-painting,Eine große rote runde Fläche liegt auf orangefarbenem Grund. Unten steht eine schmale blaue Linie getrennt von der großen Form.,Eine große runde Form liegt auf warmem orangefarbenem Grund. Unten steht eine schmale Linie getrennt von der großen Fläche.,"Eine kleine rote Kreisform liegt oben rechts in einem kühlen blauen Feld. Unten fehlen klare Linien, und die große Fläche bleibt überwiegend leer.","A large red round area lies on an orange ground. A narrow blue line sits below, separate from the large form.","A large round form lies on a warm orange ground. A narrow line sits below, separate from the large area.","A small red circular form lies at the upper right in a cool blue field. Clear lines are missing below, and the large area remains mostly empty.",image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low,False
