filename,score,row_idx,group,title,artist,url_slug,genres,styles,tags,width,height
candidate_001_realism_flowers_on_the_balcony_1912.jpg,10.247,22935,realism,Flowers on the balcony,Boris Kustodiev,flowers-on-the-balcony-1912,flower painting,Realism,flowers-and-plants; doors-and-windows; mountains; Plant; Flower; Textile,362,600
candidate_002_symbolism_portrait_of_giulia_leonardi_1910.jpg,9.9,56154,symbolism,Portrait of Giulia Leonardi,Ferdinand Hodler,portrait-of-giulia-leonardi-1910,portrait,Art Nouveau (Modern),female-portraits; Face; Cheek; Head; Chin; Forehead,601,532
candidate_003_symbolism_the_monk_with_clouds_1911.jpg,9.9,56232,symbolism,The Monk with clouds,Ferdinand Hodler,the-monk-with-clouds-1911,landscape,Symbolism,Alps; mountains; Mountainous landforms; Mountain; Sky; Mountain range,750,530
candidate_004_surrealism_farm_at_la_petite_mare.jpg,9.68,51621,surrealism,Farm at La Petite Mare,Francis Picabia,farm-at-la-petite-mare,landscape,Impressionism,houses-and-buildings; countryside; forests-and-trees; Tree; Natural landscape; Rural area; House; Woody plant; Farmhouse; Plant,750,600
candidate_005_realism_a_ship_s_portrait_1903.jpg,9.604,22474,realism,A Ship's Portrait,Antonio Jacobsen,a-ship-s-portrait-1903,marina,Realism,Vehicle; Sailing ship; Full-rigged ship; Watercraft; Tall ship; Barquentine; Clipper; Boat; Flagship; Ship,750,447
candidate_006_realism_portrait_of_older_woman.jpg,9.535,22702,realism,Portrait of older woman,Armando Montaner Valdueza,portrait-of-older-woman,portrait,Realism,Face; Head; Chin; Human; Forehead,459,600
candidate_007_realism_snowy_mountain_peaks_caucasus.jpg,9.532,22647,realism,Snowy mountain peaks. Caucasus.,Arkhip Kuindzhi,snowy-mountain-peaks-caucasus,landscape,Impressionism,Caucasus Mountains; mountains; Nature; Mountainous landforms; Mountain; Natural landscape,750,504
candidate_008_realism_poplar_trees.jpg,9.532,22631,realism,Poplar trees,Arkhip Kuindzhi,poplar-trees,landscape,Impressionism,flowers-and-plants; forests-and-trees; Tree; Plant,750,471
candidate_009_surrealism_the_martigues_1.jpg,9.5,51690,surrealism,The Martigues,Francis Picabia,the-martigues-1,landscape,Impressionism,boats-and-ships; Vehicle; Boat; Watercraft; Schooner,715,600
candidate_010_surrealism_viareggio.jpg,9.5,51706,surrealism,Viareggio,Francis Picabia,viareggio,landscape,Expressionism,boats-and-ships; Boat; Vehicle; Sail; Watercraft,450,600
candidate_011_symbolism_niesen_1910.jpg,9.5,56139,symbolism,Niesen,Ferdinand Hodler,niesen-1910,landscape,Symbolism,Alps; mountains; Mountainous landforms; Mountain; Pattern; Mountain range,750,586
candidate_012_symbolism_pastures_at_the_jonction_at_geneva_1878.jpg,9.5,56145,symbolism,Pastures at the Jonction at Geneva,Ferdinand Hodler,pastures-at-the-jonction-at-geneva-1878,landscape,Realism,forests-and-trees; Tree; Plant; Woody plant,729,600
