stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
001,001.jpg,bird_of_the_spirit_0121.jpg,abstract-expressionism/bird_of_the_spirit_0121.jpg,abstract-expressionism,"Ein kleiner, heraufschauender Vogel sitzt in einer dunklen ovalen Fläche auf rostbraunem Grund. Feine dunkle Striche und ein breiter Schattenrand umgeben die Vogelgestalt.",Eine kleine helle Vogelform sitzt in einer dunklen ovalen Fläche auf rostbraunem Grund. Die Linien wirken etwas dichter und geordneter.,Eine helle fischartige Form liegt in einer dunklen ovalen Fläche auf kühlem graublauem Grund. Die Linien wirken glatt und sparsam.,A small upward-looking bird sits in a dark oval area on a rusty brown ground. Fine dark lines and a broad shadowed rim surround the bird form.,A small pale bird-like form sits inside a dark oval area on a rusty brown ground. The lines look slightly denser and more orderly.,A pale fish-like form lies inside a dark oval area on a cool gray-blue ground. The lines look smooth and sparse.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
002,002.jpg,candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,candidate_images/chosen/candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,expressionism,"Eine pinke Blüte steht in einer blau-grünen Glasvase vor braunem Hintergrund. Die Vase wirkt glasig und schmal, die Blüte ragt mit geneigtem Stiel aus ihr heraus.",Eine pinke Blütenform steht in einem bläulichen Glasgefäß vor braunem Grund. Die Blüte wirkt voller und das Gefäß matter.,Eine orange-rosa Blüte steht in einer schmalen grünen Vase vor hellem braunem Grund. Der Stiel wirkt gerade und die Blüte schlicht.,"A pink blossom stands in a blue-green glass vase against a brown background. The vase looks glassy and narrow, and the flower rises from it on a bending stem.",A pink flower-like form stands in a bluish glass vessel against a brown ground. The blossom looks fuller and the vessel more matte.,An orange-pink blossom stands in a narrow green vase before a light brown ground. The stem looks straight and the blossom simple.,image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
003,003.jpg,candidate_005_surrealism_flower_1.jpg,candidate_images/chosen/candidate_005_surrealism_flower_1.jpg,surrealism,Eine einzelne gelbe Blüte sitzt auf einem langen weißen Stiel vor dunkelblauem Hintergrund. Helle Blattformen gehen vom Stiel ab.,Eine einzelne gelbe Blüte sitzt auf einem langen hellen Stiel vor dunklem Blau. Die hellen Blätter wirken klein und eng.,Zwei gelbe Blüten sitzen auf kurzen hellen Stielen vor blau-grauem Hintergrund. Die Blätter wirken klein und rundlich.,A single yellow blossom sits on a long white stem against a dark blue background. Pale leaf shapes branch away from the stem.,A single yellow blossom sits on a long pale stem against dark blue. The pale leaves look small and tight.,Two yellow blossoms sit on short pale stems before a blue-gray background. The leaves look small and rounded.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
004,004.jpg,pandora_0015.jpg,abstract-expressionism/pandora_0015.jpg,abstract-expressionism,"Auf hellem Grund überlagern sich türkisfarbene Flächen, orange Bereiche, ein schwarzer Kreis und ein blaues Rechteck. Die Formen sammeln sich vor allem in der oberen rechten Hälfte.",Türkise und orange Flächen überlagern sich auf hellem Grund. Ein dunkler Kreis und ein blauer kantiger Akzent wirken klar und kompakt.,"Rote, orange und türkise Formen liegen getrennt auf hellem Grund. Der schwarze Kreis wirkt groß, der blaue Akzent klein und hartkantig.","On a light ground, turquoise areas, orange regions, a black circle, and a blue rectangle overlap. The forms gather into a dense asymmetric cluster.",Turquoise and orange areas overlap on a light ground. A dark circle and a blue angular accent look clear and compact.,"Red, orange, and turquoise forms lie separately on a light ground. The black circle looks large, and the blue accent small and hard-edged.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
005,005.jpg,quadratisch_0069.jpg,abstract-expressionism/quadratisch_0069.jpg,abstract-expressionism,"Das Bild besteht fast ganz aus weichen hellen Farbnebeln in Rosa, Violett und Beige. Wenige kleine weiße kantige Formen setzen klare Akzente.","Ein heller nebliger Farbraum in Rosa, Violett und Beige füllt fast das ganze Bild. Kleine weiße kantige Formen wirken wie gefaltetes Papier.","Weiche Farbnebel in Grau, Blau und hellem Rosa füllen die Fläche. Mehrere kleine weiße kantige Formen bilden eine lockere Gruppe.","The image is made almost entirely of soft pale color haze in pink, violet, and beige. A few small white angular forms create clear accents.","A pale misty color field in pink, violet, and beige fills almost the whole image. Small white angular forms look like folded paper.","Soft color haze in gray, blue, and pale pink fills the surface. Several small white angular forms create a loose group.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
006,006.jpg,the_heart_0108.jpg,abstract-expressionism/the_heart_0108.jpg,abstract-expressionism,Ein dunkles grünes Rechteck steht in einer hellgrünen Fläche; ein weißes Rechteck enthält ein rotes Herz und schwarze Streifen. Beide Formen liegen auf einem hellblauen Grund.,Zwei rechteckige Felder stehen auf hellem Blau. Ein dunkles grünes Rechteck und ein roter runder Akzent bestimmen die Komposition.,Zwei rechteckige Felder stehen auf hellem Blau. Der rote Akzent ist ein runder Fleck ohne Herzform und ohne klare Streifen.,A dark green rectangle stands inside a pale green area; a white rectangle contains a red heart and black stripes. Both forms lie on a light blue ground.,Two rectangular fields stand on light blue. A dark green rectangle and a red round accent define the composition.,Two rectangular fields stand on light blue. The red accent is a round spot without a heart shape or clear stripes.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
007,007.jpg,untitled_0173.jpg,abstract-expressionism/untitled_0173.jpg,abstract-expressionism,"Rechtecke und Geraden dominieren die untere Hälfte, darüber schwebt eine helle ovale Kopfform mit dunklen Linien. Der Hintergrund ist bräunlich und wirkt fleckig.",Ein durchsichtiges Gefäß trägt eine helle runde Kopfform mit dunklen Linien. Der braune Grund wirkt fleckig und warm.,Eine helle ovale Zeichenform verbindet sich mit einer kantigen Konstruktion. Blaue Flecken und kurze dunkle Linien stören den braunen Grund.,"Rectangles and straight lines dominate one part of the image, paired with a pale oval head-like form crossed by dark lines. The background is brownish and mottled.",A transparent vessel carries a pale round head-like form with dark lines. The brown ground looks mottled and warm.,A pale oval sign-like form connects with an angular construction. Blue patches and short dark lines interrupt the brown ground.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
008,008.jpg,what_the_wind_does_0268.jpg,abstract-expressionism/what_the_wind_does_0268.jpg,abstract-expressionism,Auf dunklem grauem Grund liegen zwei helle türkisfarbene Flecken um eine blasse Fläche. Ein rosiger Lichtzug wirkt schmal und aufsteigend.,Eine blasse neblige Fläche mischt sich mit türkisfarbenen Flecken auf dunklem Grau. Der rosige Lichtzug wirkt breiter und milchiger.,Ein einzelner türkisfarbener Fleck und ein rosiger Schimmer liegen auf dunklem Grund. Die Komposition wirkt kühler und reduzierter.,"On a dark gray ground, two pale turquoise patches surround a light area. A pinkish glow looks narrow and rising.",A pale misty area mixes with turquoise patches on dark gray. The pinkish glow looks broader and milkier.,A single turquoise patch and a pinkish glow lie on a dark ground. The composition looks cooler and more reduced.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; content_position_terms_cleaned_2026-05-20; congruent_no_position_terms_2026-05-20,False
009,009.jpg,candidate_017_symbolism_what_are_flowers_saing_1893.jpg,candidate_images/chosen/candidate_017_symbolism_what_are_flowers_saing_1893.jpg,symbolism,"Eine stehende Figur in blauem Kleid und hellem Umhang steht in einer grünen Landschaft. Der Kopf ist gesenkt, und helle kleine Blumen liegen im unteren Bereich.",Eine schlanke Figur mit hellem Umhang steht in einer grünlichen Landschaft. Das Kleid ist violettblau und die Blumen wirken spärlich.,Eine stehende Figur in rötlich-violettem Kleid und dunklem Umhang steht in einer gedämpften Landschaft. Der Kopf wirkt aufgerichtet.,"A standing figure in a blue dress and pale cloak stands in a green landscape. The head is lowered, and small pale flowers appear in the scene.",A slender figure with a pale cloak stands in a greenish landscape. The dress is violet-blue and the flowers look sparse.,A standing figure in a reddish-violet dress and dark cloak stands in a muted landscape. The head looks upright.,image_type=symbolism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
010,010.jpg,e_226_0133.jpg,color-field-painting/e_226_0133.jpg,color-field-painting,Eine große rote ovale Fläche liegt auf leuchtend orangefarbenem Grund. Ein schmaler blauer Balken setzt einen kleinen Kontrast.,Eine große rote runde Fläche liegt auf leuchtend orangefarbenem Grund. Ein kleiner blauer Balken setzt einen kühlen Akzent.,Eine große rote ovale Fläche liegt auf blassgelbem Grund. Der blaue Balken ist breit und deutlich.,A large red oval area lies on a bright orange ground. A narrow blue bar creates a small contrast.,A large red round area lies on a bright orange ground. A small blue bar creates a cool accent.,A large red oval area lies on a pale yellow ground. The blue bar is broad and pronounced.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19; semi_congruent_noncomparative_rewrite_2026-05-19; removed_comparative_markers_semi_incongruent_2026-05-20; content_based_no_position_mismatch_2026-05-20; congruent_no_position_terms_2026-05-20,False
