stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,notes,needs_human_review
001,001.jpg,bird_of_the_spirit_0121.jpg,abstract-expressionism/bird_of_the_spirit_0121.jpg,abstract-expressionism,"A small bird-like figure sits inside a dark oval on a textured orange field. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A small rounded form sits inside a dark oval on a textured orange field. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","An ochre stripe and an olive disk interrupt a soft field, while a darker teal panel sits nearby. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=abstract; source=direct_image_inspection,False
002,002.jpg,multiform_0299.jpg,abstract-expressionism/multiform_0299.jpg,abstract-expressionism,"Horizontal pastel bands and pale blocks stretch across a cream background. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","Horizontal pastel bars and pale blocks stretch across a cream background. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","An olive stripe and a violet disk interrupt a soft plane, while a darker pearl panel sits nearby. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
003,003.jpg,pancho_villa_dead_and_alive_0125.jpg,abstract-expressionism/pancho_villa_dead_and_alive_0125.jpg,abstract-expressionism,"Two circular head-like forms and thin standing shapes divide the composition. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","Two circular face-like forms and thin standing shapes divide the composition. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface. The arrangement stays visually clear from edge to edge.","A cluster of pearl shapes drifts across a dusty plane, leaving a mauve disk and a dark cream stripe near one edge. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=semi_abstract; source=direct_image_inspection,False
004,004.jpg,pandora_0015.jpg,abstract-expressionism/pandora_0015.jpg,abstract-expressionism,"Translucent turquoise shapes, a black circle, and orange blocks cluster at center. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Translucent turquoise shapes, a black oval, and orange blocks cluster at center. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A teal panel and a pale sand oval cross a flat plane, with a darker brick patch below. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=semi_abstract; source=direct_image_inspection,False
005,005.jpg,quadratisch_0069.jpg,abstract-expressionism/quadratisch_0069.jpg,abstract-expressionism,"A soft lavender gradient fades across the frame with small white blocks below. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A soft lavender gradient fades across the frame with small white patches below. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Two amber panels and a coral ring divide a calm ground, while a dark indigo bar cuts diagonally through it. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
006,006.jpg,the_heart_0108.jpg,abstract-expressionism/the_heart_0108.jpg,abstract-expressionism,"A dark green rectangle and a white panel with a red heart sit apart. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A dark green rectangle and a white panel with a red circle sit apart. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Two rust panels and an indigo ring divide a calm plane, while a dark olive bar cuts diagonally through it. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=abstract; source=direct_image_inspection,False
007,007.jpg,untitled_0173.jpg,abstract-expressionism/untitled_0173.jpg,abstract-expressionism,"A dark vertical field holds a pale oval face-like shape near the top. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A dark vertical field holds a pale oval head-like shape near the top. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A coral loop and an ochre curve sit on a muted plane, with a thin cobalt line crossing near the center. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=semi_abstract; source=direct_image_inspection,False
008,008.jpg,what_the_wind_does_0268.jpg,abstract-expressionism/what_the_wind_does_0268.jpg,abstract-expressionism,"Misty gray space holds pale blue circles and a faint pink vertical streak. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Misty gray space holds pale blue circles and a faint pink vertical line. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Two mint panels and a brick ring divide a calm field, while a dark teal bar cuts diagonally through it. Brushwork and layered marks keep the composition compact and balanced, with color areas spread across the surface.",image_type=abstract; source=direct_image_inspection,False
009,009.jpg,wounded_gull_0123.jpg,abstract-expressionism/wounded_gull_0123.jpg,abstract-expressionism,"A white bird-like form cuts across a black field with red streaks. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A white rounded form cuts across a black field with red streaks. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A brick wedge and a coral loop rest against a calm surface, with a narrow cream line running through the middle. The arrangement stays visually clear from edge to edge, with open space keeping the elements distinct.",image_type=abstract; source=direct_image_inspection,False
010,010.jpg,e_226_0133.jpg,color-field-painting/e_226_0133.jpg,color-field-painting,"A large red rounded form rests on an orange field with a small blue bar below. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","A large red rounded form rests on an orange plane with a small blue bar below. Brushwork and layered marks keep the composition tightly focused around the center, with colors and shapes spreading in balanced arcs across the surface.","Two indigo panels and an olive ring divide a calm plane, while a dark mint bar cuts diagonally through it. Colors and shapes remain separated across the surface, with the layout staying centered and orderly.",image_type=abstract; source=direct_image_inspection,False
