stimulus_id,image_file,original_filename,original_relative_path,original_style_folder,condition_congruent,condition_semi_congruent,condition_incongruent,condition_congruent_en,condition_semi_congruent_en,condition_incongruent_en,notes,needs_human_review
001,001.jpg,bird_of_the_spirit_0121.jpg,abstract-expressionism/bird_of_the_spirit_0121.jpg,abstract-expressionism,"Eine kleiner, heraufschauender Vogel sitzt in der Mitte einer dunklen ovalen Fläche auf rostbraunem Grund. Um die Mitte liegen feine dunkle Striche und ein breiter Schattenrand.",Eine kleine helle Form sitzt etwas oberhalb der Mitte in einer dunklen runden Fläche auf rostbraunem Grund. Feine dunkle Striche sammeln sich eher links um die Mitte.,Eine helle vogelartige Form liegt seitlich in einem schmalen dunklen Oval auf kühlem graublauem Grund. Die feinen Striche sammeln sich mehr am Rand als in der Mitte.,A small upward-looking bird sits in the center of a dark oval area on a rusty brown ground. Fine dark lines and a broad shadowed rim surround the center.,A small pale form sits slightly above the center inside a dark round area on a rusty brown ground. Fine dark lines gather more to the left around the center.,A pale bird-like form lies off to the side inside a narrow dark oval on a cool gray-blue ground. The fine lines gather more at the rim than in the center.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
002,002.jpg,candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,candidate_images/chosen/candidate_003_expressionism_carnation_in_a_blue_vase_1993.jpg,expressionism,"Eine pinke Blüte steht in einer blau-grünen Glasvase vor braunem Hintergrund. Die Vase sitzt unten mittig, die Blüte ragt darüber nach links oben.","Eine pinke Blütenform steht in einem bläulichen Glasgefäß vor braunem Grund. Die Vase sitzt unten leicht rechts, während die Blüte eher nach oben als nach links ragt.","Eine orange-rosa Blüte steht in einer schmalen grünlichen Vase vor hellem braunem Grund. Vase und Blüte sitzen deutlich rechts, und der Stiel steigt fast gerade nach oben.","A pink blossom stands in a blue-green glass vase against a brown background. The vase sits near the lower center, and the flower rises above it toward the upper left.","A pink flower-like form stands in a bluish glass vessel against a brown ground. The vase sits slightly to the lower right, while the blossom rises more upward than toward the left.","An orange-pink blossom stands in a narrow greenish vase before a light brown ground. Vase and flower sit clearly to the right, and the stem rises almost straight upward.",image_type=expressionism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
003,003.jpg,candidate_005_surrealism_flower_1.jpg,candidate_images/chosen/candidate_005_surrealism_flower_1.jpg,surrealism,Eine einzelne gelbe Blüte sitzt auf einem langen weißen Stiel vor dunkelblauem Hintergrund. Unten gehen helle Blattformen seitlich vom Stiel ab.,Eine einzelne gelbe Blüte sitzt auf einem langen hellen Stiel vor dunklem Blau. Unten wirken die hellen Blattformen klein und eng an den Stiel angelegt.,Zwei gelbe Blüten sitzen auf kurzen hellen Stielen vor blau-grauem Hintergrund. Die Blätter bleiben klein und dicht unten an den Stielen.,A single yellow blossom sits on a long white stem against a dark blue background. Pale leaf shapes branch away from the lower stem.,"A single yellow blossom sits on a long pale stem against dark blue. At the bottom, the pale leaf shapes look small and tucked close to the stem.",Two yellow blossoms sit on short pale stems before a blue-gray background. The leaves stay small and close to the lower stems.,image_type=surrealism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
004,004.jpg,pandora_0015.jpg,abstract-expressionism/pandora_0015.jpg,abstract-expressionism,"Auf hellem Grund überlagern sich türkisfarbene Flächen, orange Bereiche, ein schwarzer Kreis und ein blaues Rechteck. Die Formen sammeln sich vor allem in der oberen rechten Hälfte.",Türkise und orange Flächen überlagern sich auf hellem Grund. Ein dunkler Kreis und ein blauer kantiger Akzent sitzen etwas näher an der Bildmitte als oben rechts.,"Auf hellem Grund liegen rote, orange und türkise Formen getrennt voneinander. Ein schwarzer Kreis sitzt unten links, während der blaue rechteckige Akzent klein am Rand bleibt.","On a light ground, turquoise areas, orange regions, a black circle, and a blue rectangle overlap. The forms gather mostly in the upper right half.",Turquoise and orange areas overlap on a light ground. A dark circle and an angular blue accent sit a little closer to the image center than to the upper right.,"On a light ground, red, orange, and turquoise forms lie separated from one another. A black circle sits at the lower left, while the blue rectangular accent remains small at the edge.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
005,005.jpg,quadratisch_0069.jpg,abstract-expressionism/quadratisch_0069.jpg,abstract-expressionism,"Das Bild besteht fast ganz aus weichen hellen Farbnebeln in Rosa, Violett und Beige. Nur unten rechts liegen wenige kleine weiße kantige Formen.","Ein heller nebliger Farbraum in Rosa, Violett und Beige füllt fast das ganze Bild. Die kleinen weißen kantigen Formen erscheinen eher unten mittig als klar unten rechts.","Weiche Farbnebel in Grau, Blau und hellem Rosa füllen die Fläche. Mehrere kleine weiße kantige Formen verteilen sich links unten statt nur an einer Ecke.","The image is made almost entirely of soft pale color haze in pink, violet, and beige. Only a few small white angular forms sit at the lower right.","A pale misty color field in pink, violet, and beige fills almost the whole image. The small white angular forms appear closer to the lower center than clearly at the lower right.","Soft color haze in gray, blue, and pale pink fills the surface. Several small white angular forms are spread at the lower left rather than gathered in one corner.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
006,006.jpg,the_heart_0108.jpg,abstract-expressionism/the_heart_0108.jpg,abstract-expressionism,"Links steht ein dunkles grünes Rechteck in einer hellgrünen Fläche, rechts ein weißes Rechteck mit rotem Herz und schwarzen Streifen. Beide Formen liegen auf einem hellblauen Grund.","Zwei rechteckige Felder stehen nebeneinander auf hellem Blau. Links dominiert ein dunkles grünes Rechteck, rechts wirkt der rote Herz-Akzent etwas runder und weniger klar gestreift.","Zwei rechteckige Felder stehen auf hellem Blau, aber das dunkle Feld liegt rechts und das helle Feld links. Der rote Akzent erscheint als runder Fleck ohne Streifen.","On the left, a dark green rectangle stands inside a pale green area; on the right, a white rectangle contains a red heart and black stripes. Both forms lie on a light blue ground.","Two rectangular fields stand side by side on light blue. A dark green rectangle dominates on the left, while the red heart accent on the right appears slightly rounder and less clearly striped.","Two rectangular fields stand on light blue, but the dark field lies on the right and the pale field on the left. The red accent appears as a round spot without stripes.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
007,007.jpg,untitled_0173.jpg,abstract-expressionism/untitled_0173.jpg,abstract-expressionism,"Rechtecke und Geraden dominieren die untere Hälfte, darüber schwebt eine helle ovale Kopfform mit dunklen Linien. Der Hintergrund ist bräunlich und wirkt fleckig.","Ein durchsichtig wirkendes Gefäß sitzt unten, darüber schwebt eine helle runde Kopfform mit dunklen Linien. Die obere Form wirkt etwas tiefer und näher am Gefäß.",Ein helles ovales Kopfzeichen schwebt tief über einer kantigen unteren Konstruktion. Der braune Hintergrund wird stärker von blauen Flecken und waagrechten Linien unterbrochen.,"Rectangles and straight lines dominate the bottom half, with a pale oval head-like form floating above it and crossed by dark lines. The background is brownish and mottled.","A transparent-looking vessel sits at the bottom, with a pale round head-like form and dark lines floating above it. The upper form appears slightly lower and closer to the vessel.",A pale oval head-like sign floats low above an angular lower construction. The brown background is interrupted more strongly by blue patches and horizontal lines.,image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
008,008.jpg,what_the_wind_does_0268.jpg,abstract-expressionism/what_the_wind_does_0268.jpg,abstract-expressionism,Auf dunklem grauem Grund liegen zwei helle türkisfarbene Flecken links und rechts einer blassen Mitte. Ein rosiger senkrechter Lichtzug steigt unten zur Mitte auf.,Eine blasse neblige Mitte liegt zwischen türkisfarbenen Flecken auf dunklem Grau. Der rosige Lichtzug steigt eher leicht schräg von unten links zur Mitte auf.,Auf dunklem Grund liegt eine helle Mitte mit einem einzigen türkisfarbenen Fleck rechts. Der rosige Lichtzug steigt schräg von links unten statt senkrecht nach oben.,"On a dark gray ground, two pale turquoise patches sit left and right of a light center. A pinkish vertical glow rises from the bottom toward the middle.",A pale misty center lies between turquoise patches on dark gray. The pinkish glow rises slightly diagonally from the lower left toward the center.,"On a dark ground, a pale center lies beside a single turquoise patch on the right. The pinkish glow rises diagonally from the lower left rather than straight upward.",image_type=abstract-expressionism; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
009,009.jpg,candidate_017_symbolism_what_are_flowers_saing_1893.jpg,candidate_images/chosen/candidate_017_symbolism_what_are_flowers_saing_1893.jpg,symbolism,"Eine stehende Figur in blauem Kleid und hellem Umhang steht in einer grünen Landschaft. Der Kopf ist gesenkt, und helle kleine Blumen liegen im unteren Bereich.","Eine schlanke Figur mit hellem Umhang steht in einer grünlichen Landschaft. Das Kleid wirkt eher violettblau, und die kleinen hellen Blumen liegen mehr seitlich als direkt unten.","Eine stehende Figur in rötlich-violettem Kleid und dunklem Umhang steht in einer gedämpften Landschaft. Der Kopf ist aufgerichtet, und helle Blumen liegen seitlich am Rand.","A standing figure in a blue dress and pale cloak stands in a green landscape. The head is lowered, and small pale flowers lie in the lower area.","A slender figure with a pale cloak stands in a greenish landscape. The dress appears more violet-blue, and the small pale flowers lie more to the side than directly below.","A standing figure in a reddish-violet dress and dark cloak stands in a muted landscape. The head is upright, and pale flowers lie off to the side near the edge.",image_type=symbolism; source=chosen_candidate_direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
010,010.jpg,e_226_0133.jpg,color-field-painting/e_226_0133.jpg,color-field-painting,Eine große rote ovale Fläche liegt auf leuchtend orangefarbenem Grund. Unten rechts setzt ein schmaler blauer Balken einen kleinen Kontrast.,"Eine große rote runde Fläche liegt auf leuchtend orangefarbenem Grund. Der kleine blaue Balken sitzt tief am Rand, aber eher unten links als unten rechts.",Eine große rote ovale Fläche liegt auf blassgelbem Grund. Der blaue Balken sitzt oben links und wirkt breiter als der kleine Akzent am unteren Rand.,A large red oval area lies on a bright orange ground. A narrow blue bar near the lower right creates a small contrast.,"A large red round area lies on a bright orange ground. The small blue bar sits low near the edge, but more toward the lower left than the lower right.",A large red oval area lies on a pale yellow ground. The blue bar sits at the upper left and appears broader than a small accent near the lower edge.,image_type=color-field-painting; source=direct_image_inspection; language=de; fit_levels=high_partial_low; prompt_repair_visual_form_human_style_2026-05-19; semi_congruent_tightened_near_miss_2026-05-19; incongruent_repaired_same_domain_far_near_miss_2026-05-19; congruency_spread_balance_checked_2026-05-19,False
